rocket_id,design_id,regime_label,p_unstable,servo_slew_deg_s,exp4_full_go,exp1_go,baseline_agrees,n_decision_flips,candidate_false_optimism,candidate_false_pessimism,needs_paired_run,decision_flip_wind,decision_flip_slew,decision_flip_sensor_noise,decision_flip_backlash,decision_flip_thrust_var,decision_flip_latency,decision_flip_deadband
R0001,1,INFEASIBLE,2.6598720333941874,41.51990502483413,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0002,2,FRAGILE,0.3299571470459935,54.76436406900061,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0003,3,EASY,0.9142380681124036,53.18793648700768,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0004,4,INFEASIBLE,1.3262410120284398,39.10831124149981,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0005,5,EASY,2.244097704897517,61.85790288511447,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0006,6,INFEASIBLE,1.6071754526065285,24.87006606993788,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0007,7,EASY,1.932932563356812,86.28691398730489,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0008,8,EASY,1.608433777705023,81.40397399144058,True,True,True,3,False,False,True,0,0,0,1,0,1,1
R0009,9,FRAGILE,1.0055022951186718,79.64451083654504,True,True,True,1,False,False,True,0,0,0,0,0,1,0
R0010,10,EASY,0.9739305329084648,69.3186022680884,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0011,11,INFEASIBLE,1.6687303717304154,26.555844898972268,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0012,12,INFEASIBLE,1.351261592791173,42.184772064395816,False,False,True,3,True,False,True,1,0,1,1,0,0,0
R0013,13,EASY,1.3861302160309956,21.09780900631713,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0014,14,INFEASIBLE,1.632625110725969,84.64748216742542,False,False,True,4,True,False,True,1,1,1,1,0,0,0
R0015,15,FRAGILE,0.3165636857515615,54.65294934853483,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0016,16,EASY,0.3169175716293863,35.71886185592719,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0017,17,EASY,1.6401055589850493,74.40029711119045,False,True,False,2,False,True,True,0,1,1,0,0,0,0
R0018,18,EASY,1.3369326699908384,29.19214479702976,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0019,19,EASY,0.6986252004925544,99.77809464893636,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0020,20,FRAGILE,0.8762383348740207,28.17224806486665,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0021,21,EASY,1.1098036615144309,105.0330744035551,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0022,22,EASY,0.3637019200407554,112.5777867619204,False,True,False,3,False,True,True,0,0,1,0,0,1,1
R0023,23,FRAGILE,1.0137176451732666,34.07871704923632,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0024,24,EASY,0.9841710370511282,46.4802712607413,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0025,25,EASY,2.219434320671726,35.17970208736685,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0026,26,FRAGILE,1.3443843872871184,62.551242541991634,False,True,False,6,False,True,True,1,1,1,1,1,1,0
R0027,27,EASY,1.943296815980613,78.8919269604524,False,True,False,2,False,True,True,0,1,1,0,0,0,0
R0028,28,FRAGILE,0.7695173797015584,46.522092236474144,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0029,29,EASY,2.867834087586967,101.93325965199293,True,True,True,4,False,False,True,1,0,0,1,1,0,1
R0030,30,FRAGILE,1.5788834057832322,81.04450123725155,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0031,31,INFEASIBLE,1.6907890302920858,28.935473215321515,False,False,True,3,True,False,True,1,0,1,1,0,0,0
R0032,32,EASY,1.061182441915488,36.218056681435215,False,True,False,6,False,True,True,1,1,1,1,0,1,1
R0033,33,EASY,0.6197056249699551,72.53024384300073,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0034,34,INFEASIBLE,0.3146452905168255,39.351558830380704,False,False,True,4,True,False,True,1,1,1,1,0,0,0
R0035,35,INFEASIBLE,2.474876978665578,94.5809167080663,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0036,36,EASY,0.4578547064845858,41.48012059828105,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0037,37,INFEASIBLE,1.7363041274322024,64.43790098930593,False,False,True,3,True,False,True,1,1,1,0,0,0,0
